caller,callee
unknown_8,require
unknown_9,config
unknown_9,require
unknown_14,log
unknown_15,log
unknown_16,log
unknown_17,log
unknown_18,log
unknown_19,log
unknown_22,require
unknown_1,require
unknown_2,require
unknown_3,require
translateReadme,log
translateReadme,getGenerativeModel
translateReadme,resolve
translateReadme,join
unknown_18,require
translateReadme,join
unknown_19,require
translateReadme,access
parseCSV,split
parseCSV,trim
translateReadme,readFile
translateReadme,trim
translateReadme,log
parseCSV,trim
translateReadme,log
translateReadme,log
translateReadme,generateContent
translateReadme,text
translateReadme,trim
parseCSV,map
parseCSV,split
anonymous_34,replace
anonymous_34,trim
parseCSV,add
parseCSV,add
parseCSV,push
translateReadme,replace
parseCSV,map
parseCSV,from
parseCSV,map
translateReadme,replace
translateReadme,trim
translateReadme,log
translateReadme,readFile
translateReadme,log
generateHTML,toLocaleString
generateHTML,stringify
translateReadme,log
main,existsSync
main,error
translateReadme,writeFile
translateReadme,log
translateReadme,log
translateReadme,substring
translateReadme,log
translateReadme,log
translateReadme,log
translateReadme,log
main,error
translateReadme,error
main,error
translateReadme,error
main,error
translateReadme,exit
main,exit
main,readFileSync
main,log
main,parseCSV
main,log
main,error
main,error
unknown_102,translateReadme
main,error
main,error
main,error
main,error
main,error
main,error
main,error
main,exit
main,generateHTML
main,writeFileSync
main,log
unknown_119,fitGraph
unknown_120,resetLayout
unknown_121,toggleLabels
main,log
main,error
main,error
main,error
main,exit
unknown_399,main
unknown_8,require
unknown_9,require
unknown_10,require
unknown_12,join
unknown_14,log
unknown_17,join
unknown_18,existsSync
unknown_19,log
unknown_37,writeFileSync
unknown_37,stringify
unknown_38,log
unknown_42,log
unknown_44,execSync
unknown_48,log
unknown_50,error
unknown_51,exit
unknown_55,join
unknown_56,existsSync
unknown_57,log
unknown_67,writeFileSync
unknown_68,log
unknown_72,log
unknown_74,execSync
unknown_78,log
unknown_80,error
unknown_81,exit
unknown_85,join
unknown_86,existsSync
unknown_87,mkdirSync
unknown_90,join
unknown_91,existsSync
unknown_92,log
unknown_105,writeFileSync
unknown_106,log
unknown_110,join
unknown_111,existsSync
unknown_112,log
unknown_123,writeFileSync
unknown_124,log
unknown_128,log
unknown_130,execSync
unknown_134,log
unknown_136,error
unknown_137,exit
unknown_140,log
unknown_141,log
unknown_142,log
unknown_143,log
unknown_144,log
unknown_145,log
constructor,super
format,find
format,split
format,offset
format,padEnd
format,toString
format,padEnd
format,padEnd
hex,toUpperCase
hex,toString
hex,codePointAt
buildMessage,call
unicodeEscape,replace
anonymous_56,hex
literalEscape,unicodeEscape
literalEscape,replace
literalEscape,replace
literalEscape,replace
literalEscape,replace
literalEscape,replace
literalEscape,replace
literalEscape,replace
literalEscape,replace
anonymous_69,hex
anonymous_70,hex
classEscape,unicodeEscape
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
classEscape,replace
anonymous_83,hex
anonymous_84,hex
literal,literalEscape
class,map
anonymous_94,isArray
anonymous_94,classEscape
anonymous_94,classEscape
anonymous_94,classEscape
class,join
describeExpectation,DESCRIB ... n.type\]
describeExpected,map
describeExpected,sort
unknown_1,require
describeExpected,join
unknown_2,require
unknown_3,require
unknown_4,require
constructor,resolve
constructor,getGenerativeModel
describeExpected,slice
hasUserCommitsInLast24Hours,log
describeFound,literalEscape
hasUserCommitsInLast24Hours,execSync
buildMessage,describeExpected
buildMessage,describeFound
hasUserCommitsInLast24Hours,trim
hasUserCommitsInLast24Hours,log
hasUserCommitsInLast24Hours,filter
hasUserCommitsInLast24Hours,split
anonymous_39,toLowerCase
anonymous_39,includes
anonymous_39,includes
hasUserCommitsInLast24Hours,log
hasUserCommitsInLast24Hours,log
peg$parse,peg$literalExpectation
hasUserCommitsInLast24Hours,forEach
anonymous_50,log
hasUserCommitsInLast24Hours,error
collectProjectInfo,log
collectProjectInfo,join
text,substring
collectProjectInfo,parse
collectProjectInfo,readFile
location,peg$computeLocation
expected,peg$computeLocation
expected,peg$buildStructuredError
expected,peg$otherExpectation
expected,substring
collectProjectInfo,analyzeTechStack
collectProjectInfo,warn
error,peg$computeLocation
error,peg$buildSimpleError
collectProjectInfo,join
peg$getUnicode,codePointAt
collectProjectInfo,access
peg$getUnicode,fromCodePoint
collectProjectInfo,join
collectProjectInfo,readFile
collectProjectInfo,substring
collectProjectInfo,warn
collectProjectInfo,getProjectStructure
collectProjectInfo,warn
collectProjectInfo,log
collectProjectInfo,getDetailedFileTree
collectProjectInfo,warn
collectProjectInfo,log
